filename,start_idx,end_idx
day1test1430,84.8,99
day1test3640,244.5,248.5
day1test3640,137,137.1
day1test81210,370.2,370.4
day1test9250am,137.5,137.6
day1test9250am,202.2,226
day1test9250am,232.0,232.2
day1test9250am,263.9,270.5
day1test9250am,276.5,278.5
day1test9250am,145.2,145.4
day1test9250am,308.85,310.4
day1test9250am,322,324.5
day1test10400am,212.9,212.95

day2test1,411.2,411.3
day2test2,198.2,209.13
day2test2,252.5,252.6
day2test2,244,251
day2test2,502,503.5
day2test3,2.1,2.7
day2test4,372.5,375.5
day2test4,295.5,302.5

day3test4,211,216
day3test5,80,84
day3test9,247.2,247.3
