time_ms,reading,bpm,leads_off
3738962,449,0,0
3738966,452,0,0
3738969,482,0,0
3738973,495,0,0
3738977,488,0,0
3739022,518,0,0
3739025,498,0,0
3739029,492,0,0
3739032,511,0,0
3739036,543,0,0
3739040,518,0,0
3739044,488,0,0
3739048,499,0,0
3739053,533,0,0
3739057,532,0,0
3739062,508,0,0
3739108,519,0,0
3739112,508,0,0
3739116,535,0,0
3739120,567,0,0
3739124,505,0,0
3739129,481,0,0
3739134,541,0,0
3739138,552,0,0
3739182,536,0,0
3739186,545,0,0
3739190,529,0,0
3739194,513,0,0
3739199,529,0,0
3739204,555,0,0
3739248,480,0,0
3739289,550,0,0
3739331,709,0,0
3739373,500,0,0
3739414,495,0,0
3739455,518,0,0
3739496,525,0,0
3739537,580,0,0
3739578,536,0,0
3739620,500,0,0
3739663,457,0,0
3739706,494,0,0
3739747,490,0,0
3739788,517,0,0
3739870,520,0,0
3739911,498,0,0
3739951,503,0,0
3739992,523,0,0
3740035,558,0,0
3740076,502,0,0
3740120,620,0,0
3740162,467,0,0
3740203,518,0,0
3740245,511,0,0
3740288,553,0,0
3740330,558,0,0
3740375,582,0,0
3740419,514,0,0
3740461,486,0,0
3740504,512,0,0
3740588,510,0,0
3740631,499,0,0
3740673,509,0,0
3740715,518,0,0
3740759,506,0,0
3740803,515,0,0
3740846,517,0,0
3740889,527,0,0
3740933,530,0,0
3740976,521,0,0
3741020,544,0,0
3741063,519,0,0
3741108,512,0,0
3741151,559,0,0
3741196,508,0,0
3741239,532,0,0
3741325,560,0,0
3741370,603,0,0
3741412,496,0,0
3741455,499,0,0
3741499,486,0,0
3741542,488,0,0
3741585,511,0,0
3741629,487,0,0
3741673,509,0,0
3741716,505,0,0
3741761,489,0,0
3741804,519,0,0
3741849,505,0,0
3741893,500,0,0
3741938,515,0,0
3741984,541,0,0
3742072,519,0,0
3742117,693,0,0
3742161,492,0,0
3742206,517,0,0
3742250,542,0,0
3742296,566,0,0
3742341,589,0,0
3742386,516,0,0
3742432,487,0,0
3742478,479,0,0
3742524,493,0,0
3742571,504,0,0
3742617,507,0,0
3742662,489,0,0
3742709,495,0,0
3742756,513,0,0
3742845,524,0,0
3742890,536,0,0
3742935,528,0,0
3742980,876,0,0
3743026,511,0,0
3743072,525,0,0
3743117,534,0,0
3743163,541,0,0
3743209,575,0,0
3743255,520,0,0
3743301,492,0,0
3743348,492,0,0
3743396,496,0,0
3743442,500,0,0
3743489,517,0,0
3743536,533,0,0
3743625,521,0,0
3743671,515,0,0
3743718,808,0,0
3743765,516,0,0
3743811,491,0,0
3743858,512,0,0
3743904,550,0,0
3743952,590,0,0
3743998,482,0,0
3744045,461,0,0
3744092,477,0,0
3744139,490,0,0
3744187,497,0,0
3744234,513,0,0
3744282,500,0,0
3744330,520,0,0
3744419,511,0,0
3744466,602,0,0
3744514,490,0,0
3744561,501,0,0
3744611,520,0,0
3744660,562,0,0
3744709,517,0,0
3744756,491,0,0
3744805,489,0,0
3744852,503,0,0
3744900,505,0,0
3744949,501,0,0
3744998,501,0,0
3745047,499,0,0
3745095,508,0,0
3745145,492,0,0
3745235,533,0,0
3745283,508,0,0
3745331,528,0,0
3745379,549,0,0
3745428,573,0,0
3745477,499,0,0
3745525,473,0,0
3745575,491,0,0
3745625,493,0,0
3745674,493,0,0
3745723,505,0,0
3745772,508,0,0
3745821,520,0,0
3745869,521,0,0
3745918,537,0,0
3745967,515,0,0
3746059,527,0,0
3746107,503,0,0
3746156,526,0,0
3746206,554,0,0
3746255,581,0,0
3746304,509,0,0
3746354,488,0,0
3746404,506,0,0
3746455,499,0,0
3746505,497,0,0
3746556,502,0,0
3746605,508,0,0
3746655,508,0,0
3746707,519,0,0
3746759,516,0,0
3746810,501,0,0
3746906,497,0,0
3746957,511,0,0
3747008,532,0,0
3747059,564,0,0
3747111,513,0,0
3747162,475,0,0
3747214,500,0,0
3747264,508,0,0
3747316,511,0,0
3747368,514,0,0
3747419,511,0,0
3747470,520,0,0
3747522,510,0,0
3747573,523,0,0
3747625,494,0,0
3747677,939,0,0
3747771,511,0,0
3747824,524,0,0
3747877,561,0,0
3747928,541,0,0
3747980,493,0,0
3748032,506,0,0
3748084,513,0,0
3748137,509,0,0
3748189,497,0,0
3748243,500,0,0
3748296,514,0,0
3748348,527,0,0
3748402,528,0,0
3748455,532,0,0
3748507,505,0,0
3748561,861,0,0
3748657,510,0,0
3748711,531,0,0
3748763,576,0,0
3748816,541,0,0
3748869,493,0,0
3748921,484,0,0
3748974,497,0,0
3749028,494,0,0
3749082,517,0,0
3749135,517,0,0
3749187,505,0,0
3749240,498,0,0
3749295,507,0,0
3749350,529,0,0
3749404,503,0,0
3749458,789,0,0
3749553,511,0,0
3749606,520,0,0
3749659,550,0,0
3749713,564,0,0
3749766,494,0,0
3749820,488,0,0
3749874,486,0,0
3749928,488,0,0
3749981,510,0,0
3750035,512,0,0
3750089,503,0,0
3750143,506,0,0
3750197,527,0,0
3750252,520,0,0
3750306,941,0,0
3750360,490,0,0
3750456,516,0,0
3750510,562,0,0
3750564,532,0,0
3750654,485,0,0
3750693,492,0,0
3750732,507,0,0
3750771,491,0,0
3750811,497,0,0
3750851,513,0,0
3750891,502,0,0
3750930,521,0,0
3750968,515,0,0
3751009,594,0,0
3751048,459,0,0
3751088,491,0,0
3751127,498,0,0
3751207,535,0,0
3751247,584,0,0
3751287,511,0,0
3751327,472,0,0
3751367,492,0,0
3751407,483,0,0
3751447,506,0,0
3751487,499,0,0
3751527,492,0,0
3751568,510,0,0
3751608,514,0,0
3751648,523,0,0
3751690,500,0,0
3751731,940,0,0
3751771,508,0,0
3751814,513,0,0
3751895,535,0,0
3751936,578,0,0
3751976,554,0,0
3752017,494,0,0
3752058,475,0,0
3752099,504,0,0
3752139,493,0,0
3752181,507,0,0
3752222,493,0,0
3752265,514,0,0
3752306,496,0,0
3752347,520,0,0
3752388,513,0,0
3752430,511,0,0
3752471,492,0,0
3752514,532,0,0
3752594,501,0,0
3752636,524,0,0
3752677,537,0,0
3752719,577,0,0
3752761,517,0,0
3752804,477,0,0
3752845,479,0,0
3752888,484,0,0
3752929,502,0,0
3752972,495,0,0
3753014,503,0,0
3753057,493,0,0
3753100,512,0,0
3753143,499,0,0
3753185,516,0,0
3753229,517,0,0
3753313,523,0,0
3753356,513,0,0
3753400,531,0,0
3753443,515,0,0
3753486,539,0,0
3753529,525,0,0
3753573,502,0,0
3753616,453,0,0
3753660,504,0,0
3753704,516,0,0
3753747,537,0,0
3753789,551,0,0
3753833,599,0,0
3753877,497,0,0
3753921,478,0,0
3753965,495,0,0
3754050,507,0,0
3754093,493,0,0
3754137,502,0,0
3754180,516,0,0
3754224,498,0,0
3754268,512,0,0
3754312,510,0,0
3754356,501,0,0
3754401,526,0,0
3754445,514,0,0
3754489,509,0,0
3754533,527,0,0
3754578,524,0,0
3754622,512,0,0
3754666,520,0,0
3754712,447,0,0
3754799,531,0,0
3754844,523,0,0
3754889,556,0,0
3754933,602,0,0
3754978,489,0,0
3755022,473,0,0
3755068,494,0,0
3755112,498,0,0
3755158,488,0,0
3755203,500,0,0
3755250,507,0,0
3755293,492,0,0
3755338,497,0,0
3755391,489,0,0
3755437,509,0,0
3755482,523,0,0
3755567,534,0,0
3755613,521,0,0
3755658,502,0,0
3755702,656,0,0
3755748,518,0,0
3755793,514,0,0
3755840,525,0,0
3755885,570,0,0
3755931,604,0,0
3755977,479,0,0
3756023,466,0,0
3756069,487,0,0
3756116,510,0,0
3756162,501,0,0
3756209,487,0,0
3756254,498,0,0
3756340,496,0,0
3756386,511,0,0
3756432,518,0,0
3756479,519,0,0
3756526,502,0,0
3756571,516,0,0
3756619,483,0,0
3756666,518,0,0
3756713,520,0,0
3756761,539,0,0
3756810,575,0,0
3756857,517,0,0
3756905,473,0,0
3756953,482,0,0
3757001,503,0,0
3757048,509,0,0
3757138,496,0,0
