time_ms,reading,bpm,leads_off
6752,568,0,0
6755,597,0,0
6757,535,0,0
6760,462,0,0
6762,445,0,0
6765,476,0,0
6767,531,0,0
6770,582,0,0
6772,579,0,0
6775,501,0,0
6777,447,0,0
6780,447,0,0
6782,496,0,0
6785,554,0,0
6787,598,0,0
6790,553,0,0
6792,469,0,0
6795,426,0,0
6797,435,0,0
6800,481,0,0
6802,544,0,0
6805,577,0,0
6807,535,0,0
6810,504,0,0
6812,538,0,0
6815,638,0,0
6817,769,0,0
6820,895,0,0
6822,953,0,0
6825,932,0,0
6827,904,0,0
6830,877,0,0
6832,857,0,0
6835,808,0,0
6837,733,0,0
6840,583,0,0
6842,426,0,0
6845,361,0,0
6847,392,0,0
6850,482,0,0
6852,584,0,0
6855,639,0,0
6857,583,0,0
6860,510,0,0
6862,476,0,0
6865,485,0,0
6867,523,0,0
6870,563,0,0
6872,543,0,0
6875,467,0,0
6877,415,0,0
6880,422,0,0
6882,471,0,0
6885,533,0,0
6887,573,0,0
6890,527,0,0
6892,451,0,0
6895,419,0,0
6897,441,0,0
6900,487,0,0
6902,545,0,0
6905,564,0,0
6907,495,0,0
6910,435,0,0
6912,421,0,0
6915,455,0,0
6917,517,0,0
6920,569,0,0
6922,555,0,0
6925,476,0,0
6927,426,0,0
6930,431,0,0
6932,479,0,0
6935,541,0,0
6937,583,0,0
6940,537,0,0
6942,457,0,0
6945,424,0,0
6947,448,0,0
6950,504,0,0
6952,562,0,0
6955,575,0,0
6957,503,0,0
6960,439,0,0
6962,428,0,0
6965,468,0,0
6967,534,0,0
6970,589,0,0
6972,562,0,0
6975,478,0,0
6977,431,0,0
6980,446,0,0
6983,493,0,0
6985,555,0,0
6988,593,0,0
6990,540,0,0
6993,467,0,0
6995,438,0,0
6998,459,0,0
7000,519,0,0
7003,582,0,0
7005,589,0,0
7008,516,0,0
7010,452,0,0
7013,447,0,0
7015,494,0,0
7018,557,0,0
7020,608,0,0
7023,585,0,0
7025,507,0,0
7028,461,0,0
7030,473,0,0
7033,532,0,0
7035,592,0,0
7038,627,0,0
7040,572,0,0
7043,496,0,0
7045,469,0,0
7048,501,0,0
7050,566,0,0
7053,621,0,0
7055,629,0,0
7058,555,0,0
7060,489,0,0
7063,484,0,0
7065,524,0,0
7068,583,0,0
7070,632,0,0
7073,601,0,0
7075,519,0,0
7078,470,0,0
7080,477,0,0
7083,525,0,0
7085,577,0,0
7088,603,0,0
7090,536,0,0
7093,459,0,0
7095,427,0,0
7098,453,0,0
7100,515,0,0
7103,567,0,0
7105,567,0,0
7108,484,0,0
7110,424,0,0
7113,413,0,0
7115,458,0,0
7118,514,0,0
7120,563,0,0
7123,529,0,0
7125,447,0,0
7128,404,0,0
7130,419,0,0
7133,468,0,0
7135,529,0,0
7138,561,0,0
7140,497,0,0
7143,422,0,0
7145,401,0,0
7148,428,0,0
7150,491,0,0
7153,550,0,0
7155,549,0,0
7158,471,0,0
7160,411,0,0
7163,414,0,0
7165,455,0,0
7168,516,0,0
7170,565,0,0
7173,529,0,0
7175,450,0,0
7178,418,0,0
7180,432,0,0
7183,485,0,0
7185,544,0,0
7188,569,0,0
7190,503,0,0
7193,430,0,0
7195,412,0,0
7198,444,0,0
7200,505,0,0
7203,564,0,0
7205,562,0,0
7208,483,0,0
7210,423,0,0
7213,419,0,0
7215,463,0,0
7218,525,0,0
7220,573,0,0
7223,531,0,0
7225,452,0,0
7228,419,0,0
7230,435,0,0
7233,492,0,0
7235,554,0,0
7238,577,0,0
7240,515,0,0
7243,443,0,0
7246,423,0,0
7248,460,0,0
7251,523,0,0
7253,578,0,0
7256,571,0,0
7258,485,0,0
7261,431,0,0
7263,431,0,0
7266,476,0,0
7268,536,0,0
7271,582,0,0
7273,541,0,0
7276,458,0,0
7278,423,0,0
7281,448,0,0
7283,502,0,0
7286,562,0,0
7288,585,0,0
7291,510,0,0
7293,441,0,0
7296,426,0,0
7298,464,0,0
7301,520,0,0
7303,579,0,0
7306,562,0,0
7308,480,0,0
7311,430,0,0
7313,429,0,0
7316,478,0,0
7318,544,0,0
7321,591,0,0
7323,549,0,0
7326,465,0,0
7328,428,0,0
7331,452,0,0
7333,504,0,0
7336,562,0,0
7338,578,0,0
7341,507,0,0
7343,441,0,0
