---NASA PVT+ V1.5.6-B2626 SINGLE TRIAL PVT DATA---,,
STUDY NAME:,OfficialPPGSleep,
STUDY GROUP:,KarlenDay2,
SUBJECT ID:,Karlen2,
TRIAL:,1,
TRIAL DATE TIME:,08-14-2025 19:20,
HANDEDNESS:,RIGHT,
IOS DEVICE:,iPhone14,7
IOS VERSION:,18.5,
LATENCY OFFSET:,SEE DOCUMENTATION,
PVT LENGTH (SEC):,600,
PVT TIMEOUT (SEC):,10,
TIMEOUT AUDIO ALARM:,FALSE,
TIMEOUT HAPTIC ALARM:,FALSE,
---DATA---,,
Reaction Time(ms),Elapsed Times(sec),
313,5.15,
324,11.93,
341,21.96,
382,27.38,
355,30.81,
340,37.27,
436,42.19,
331,51.59,
306,60.29,
312,68.24,
350,71.17,
328,75.9,
474,85.83,
333,93.83,
346,102.69,
773,105.59,
289,115.24,
401,122.95,
341,129.73,
331,138.59,
381,143.72,
318,150.3,
318,159.08,
361,161.55,
288,168.56,
322,173.85,
326,180.3,
494,190.39,
325,197.73,
369,200.26,
320,206,
341,214.93,
350,221.71,
321,225.02,
436,228.57,
380,234.96,
457,239.83,
286,247.02,
354,253.4,
360,260.13,
316,265.56,
345,271.97,
324,276.35,
281,282.55,
345,292.54,
381,295.54,
434,301.82,
376,306.76,
378,316.34,
337,324.39,
413,330.62,
377,339.01,
261,346.42,
305,355.6,
304,364.86,
303,369.22,
405,371.61,
459,375.44,
305,379.37,
332,382.93,
354,392.69,
389,402.44,
347,409.77,
537,413.5,
296,420.99,
335,429.54,
356,435.41,
391,440.51,
359,444.23,
339,452.69,
426,462.7,
313,471.67,
379,481.28,
340,490.12,
513,494.16,
331,497.74,
356,502.49,
352,511.5,
379,514.43,
317,522.56,
450,525.31,
273,529.02,
275,532.55,
318,537.05,
325,544.71,
334,552.13,
468,554.85,
301,561.72,
381,566.49,
357,572.91,
309,581.25,
323,585.63,
340,595.61,
466,600.07,
FS,601.09,
