File_1,File_2,File_3,File_4,File_5,File_6,File_7,File_8,File_9,File_10,File_11,File_12,File_13,File_14,File_15,File_16,File_17,File_18,File_19,File_20,File_21,File_22,File_23
0.8675,0.8051,0.8878,0.8865,0.7536,0.9165,0.7893,0.7586,0.7732,0.7954,0.7620,0.8518,0.7010,0.7512,0.8639,0.9189,0.9131,0.8087,0.9201,0.8876,0.7567,0.8273,0.7791
76.0864,74.7340,102.2764,37.9860,46.2570,76.4998,67.6544,53.6992,53.3964,53.1202,39.7522,19.2442,16.6007,58.4598,74.2300,59.7099,50.7900,62.1148,88.5127,48.4600,90.6196,61.9259,65.4525
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.8225,0.8099,0.9319,0.7998,0.7088,0.9131,0.7258,0.6758,0.8138,0.8563,0.7203,0.7231,0.8167,0.7748,0.8166,0.8200,0.9081,0.7479,0.8469,0.8279,0.7283,0.6729,0.8162
64.0306,115.0349,76.4852,99.8954,49.0660,127.1689,90.2413,88.3181,65.9970,75.8659,43.6606,32.1287,26.5425,38.4871,75.4561,47.5134,32.0020,53.3338,67.1580,57.2195,69.9824,64.3177,58.7031
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.7309,0.7820,0.8412,0.7337,0.8055,0.8783,0.6036,0.7166,0.7427,0.8222,0.6830,0.7089,0.8110,0.6832,0.8344,0.8875,0.7735,0.7126,0.8359,0.8962,0.7209,0.6685,0.6869
59.6704,76.6460,106.1041,26.2790,63.4543,47.0816,51.4607,66.5015,74.2593,41.0108,35.9538,36.0338,19.2362,46.7912,67.0133,50.2112,47.5386,55.4684,83.7981,63.8450,82.7555,49.2504,76.4885
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.7216,0.7802,0.7770,0.5634,0.8236,0.8593,0.5862,0.6905,0.7178,0.7211,0.7664,0.8218,0.5337,0.7410,0.8463,0.9011,0.7697,0.7506,0.8379,0.8381,0.7002,0.8471,0.8017
69.6700,109.8327,17.7517,58.5114,43.4781,98.5533,16.3375,72.2376,27.7117,38.5819,55.0170,31.2878,8.0407,45.8293,66.3820,81.7510,44.2213,75.4829,24.5790,81.4863,61.7667,86.3643,72.1221
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.5858,0.7923,0.8811,0.8396,0.8370,0.9095,0.7444,0.6725,0.6928,0.7741,0.7564,0.8014,0.7208,0.6856,0.8041,0.8517,0.8130,0.7587,0.8403,0.9015,0.7712,0.8025,0.8742
23.2402,98.8371,120.0166,72.1110,41.5754,82.2191,43.8368,65.0869,39.9345,41.6025,39.8969,50.1014,7.1260,34.8991,86.0555,62.5387,32.9642,99.2991,48.1329,70.2916,77.6015,95.4275,66.3060
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
























































































































































































































































































































































































































































